ChEMBL ID,DrugBank ID,Name,ATC code(s),ATC therapeutic group,ATC status,pKa (acidic),SMILES,pKa (basic),pKa (exp.)_1,pKa (exp.)_2,pKa_comment,logP (pred.),logP (exp.),DyeLeS score,Fluorescent,First approval (year),Oral,MW,TPSA,HBD,HBA,lipinski_violations,lipinski_pass,ABCB1_Pgp_CHEMBL
CHEMBL245807,DB04823,Oxyphenisatin,A06AB01,ЖКТ и обмен веществ,Success,9.18,OC1=CC=C(C=C1)C1(C(=O)NC2=CC=CC=C12)C1=CC=C(O)C=C1,-6.0,,,,3.78,,-0.418755336,False,,0.0,317.34,69.56,3.0,3.0,0,True,
CHEMBL842,DB00880,Chlorothiazide,C03AH01; C03AA04,Сердечно-сосудистая система,Success,9.19,NS(=O)(=O)C1=C(Cl)C=C2NC=NS(=O)(=O)C2=C1,-4.2,6.85,,6.85,0.41,-0.24,-1.378551042,False,1958.0,1.0,295.73,118.69,2.0,5.0,0,True,
CHEMBL259571,DB06083,Tapinarof,D05AX07,Дерматологические препараты,Success,9.19,CC(C)C1=C(O)C=C(\C=C\C2=CC=CC=C2)C=C1O,-5.9,,,,4.25,,-0.008573322214,False,2022.0,0.0,254.33,40.46,2.0,2.0,0,True,
CHEMBL132530,DB08905,Formestane,L02BG02,Противоопухолевые препараты и иммуномодуляторы,Success,9.21,[H][C@@]12CCC(=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CCC2=C(O)C(=O)CC[C@]12C,-3.7,9.31,,9.31,2.57,2.66,-1.887680088,False,,,302.41,54.37,1.0,3.0,0,True,
CHEMBL398440,DB11121,Chloroxylenol,D08AE05,Дерматологические препараты,Success,9.21,CC1=CC(O)=CC(C)=C1Cl,-6.3,,,,3.14,,-0.1623210836,False,,,156.61,20.23,1.0,1.0,0,True,
CHEMBL605846,DB09080,Olodaterol,R03AC19,Дыхательная система,Success,9.22,COC1=CC=C(CC(C)(C)NC[C@H](O)C2=C3OCC(=O)NC3=CC(O)=C2)C=C1,9.84,,,,2.02,,-1.617215882,False,2014.0,0.0,386.45,100.05,4.0,6.0,0,True,
CHEMBL2042122,DB09151,Flutemetamol (18F),V09AX04,Прочие препараты,No Drug Record,9.23,CNC1=C([18F])C=C(C=C1)C1=NC2=CC=C(O)C=C2S1,2.89,,,,4.16,,2.336189464,True,,,273.32,45.15,2.0,4.0,0,True,
CHEMBL579205,,FLUTEMETAMOL,V09AX04,Прочие препараты,,9.23,CNc1ccc(-c2nc3ccc(O)cc3s2)cc1F,2.89,,,,3.85,,2.336189464,True,2013.0,0.0,274.32,45.15,2.0,4.0,0,True,
CHEMBL114655,DB06152,Nylidrin,G02CA02; C04AA02,Мочеполовая система и половые гормоны,Success,9.25,CC(CCC1=CC=CC=C1)NC(C)C(O)C1=CC=C(O)C=C1,10.11,,,,2.73,,-0.9664019124,False,,,299.41,52.49,3.0,3.0,0,True,
CHEMBL53,DB00714,Apomorphine,N04BC07; G04BE07,Нервная система,Success,9.26,[H][C@]12CC3=C(C(O)=C(O)C=C3)C3=CC=CC(CCN1C)=C23,7.72,,,,2.51,2.0,-2.182057628,False,2001.0,0.0,267.33,43.7,2.0,3.0,0,True,
CHEMBL24147,DB11085,Resorcinol,S01AX06; D10AX02,Органы чувств,Success,9.26,OC1=CC(O)=CC=C1,-5.7,,,,0.7,,0.06718648238,False,,,110.11,40.46,2.0,2.0,0,True,
CHEMBL450449,DB05109,Trabectedin,L01CX01,Противоопухолевые препараты и иммуномодуляторы,Success,9.26,[H][C@@]12[C@@H]3SC[C@]4(NCCC5=C4C=C(OC)C(O)=C5)C(=O)OC[C@H](N1[C@@H](O)[C@@H]1CC4=CC(C)=C(OC)C(O)=C4[C@H]2N1C)C1=C2OCOC2=C(C)C(OC(C)=O)=C31,7.2,,,,2.04,,-2.702423356,False,2007.0,0.0,761.85,168.72,4.0,15.0,3,False,inhibitor
CHEMBL902,DB00927,Famotidine,A02BA03; A02BA53,ЖКТ и обмен веществ,Success,9.29,NC(N)=NC1=NC(CSCCC(N)=NS(N)(=O)=O)=CS1,8.38,,,,-0.2,-0.64,-2.01011757,False,1986.0,1.0,337.46,175.83,4.0,6.0,1,True,
CHEMBL1577,DB00232,Methyclothiazide,C03AA08,Сердечно-сосудистая система,Success,9.29,CN1C(CCl)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O,-3.4,9.4,,9.4,0.93,1.42,-1.75345771,False,1960.0,1.0,360.24,109.57,2.0,5.0,0,True,
CHEMBL1503,DB00338,Omeprazole,A02BC01,ЖКТ и обмен веществ,Success,9.29,COC1=CC2=C(C=C1)N=C(N2)S(=O)CC1=NC=C(C)C(OC)=C1C,4.77,9.29,4.77,"9.29 (acid), 4.77 (base)",1.66,2.23,-1.219115381,False,1989.0,1.0,345.42,77.1,1.0,5.0,0,True,inhibitor; interaction
CHEMBL1587,DB01324,Polythiazide,C03AA05,Сердечно-сосудистая система,Success,9.31,CN1C(CSCC(F)(F)F)NC2=CC(Cl)=C(C=C2S1(=O)=O)S(N)(=O)=O,-3.1,,,,2.13,1.9,-0.3711084038,False,1961.0,1.0,439.89,109.57,2.0,6.0,0,True,
CHEMBL483254,DB06603,Panobinostat,L01XH03,Противоопухолевые препараты и иммуномодуляторы,Success,9.31,CC1=C(CCNCC2=CC=C(\C=C\C(=O)NO)C=C2)C2=CC=CC=C2N1,9.95,,,,3.16,,-0.4955299714,False,2015.0,1.0,349.43,77.15,4.0,3.0,0,True,
CHEMBL584,DB00220,Nelfinavir,J05AE04,Противомикробные (системные),Success,9.32,[H][C@@]12CCCC[C@]1([H])CN(C[C@@H](O)[C@H](CSC1=CC=CC=C1)NC(=O)C1=C(C)C(O)=CC=C1)[C@@H](C2)C(=O)NC(C)(C)C,8.18,,,,4.61,6.0,-1.427724142,False,1997.0,1.0,567.8,101.9,4.0,6.0,1,True,inhibitor; substrate; interaction
CHEMBL44657,DB00773,Etoposide,L01CB01,Противоопухолевые препараты и иммуномодуляторы,Success,9.33,[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=CC3=C(OCO3)C=C1[C@H]2O[C@@H]1O[C@]2([H])CO[C@@H](C)O[C@@]2([H])[C@H](O)[C@H]1O,-3.7,,,,0.73,0.6,-1.638764742,False,1983.0,1.0,588.56,160.83,3.0,13.0,3,False,inhibitor; substrate; interaction
CHEMBL452231,DB00444,Teniposide,L01CB02,Противоопухолевые препараты и иммуномодуляторы,Success,9.33,[H][C@]12COC(=O)[C@]1([H])[C@H](C1=CC(OC)=C(O)C(OC)=C1)C1=C(C=C3OCOC3=C1)[C@H]2O[C@]1([H])O[C@]2([H])CO[C@H](O[C@@]2([H])[C@H](O)[C@H]1O)C1=CC=CS1,-3.7,,,,2.78,1.24,-1.261305701,False,1992.0,0.0,656.66,160.83,3.0,14.0,3,False,
